partNumber,Vendor,EffectiveDate,Meter Category,Instance Series,Instance Name,vCPU,RAM,Temporary Storage,Temporary Storage Type,Instance Family,Size,Tenancy,Reservation Type,Reservation Length,Meter Region,Operating System,Licence Model,Azure Environment,Azure Priority,Azure Source,Azure Hosting Type,Pricing ,Unit,Rate,Currency,Normalised Rate,Description
YNZBC6A26TXAHW57.JRTCKXETXF.6YS6EN2CT7,AWS,2020-01-01,Virtual Machines,m5,m5.metal,96.00,384.00,0.00,EBS only,General purpose,96c / 384 GiB,Shared,On-Demand,On-Demand,Asia Pacific (Sydney),Linux,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $5.760 ,USD, $7.10 ,
DBAH6HCT3AJTUW9Z.4NA7Y494T4.6YS6EN2CT7,AWS,2019-09-01,Virtual Machines,m5,m5.xlarge,4.00,16.00,0.00,EBS only,General purpose,4c / 16 GiB,Shared,Reserved,1 Year Reserved,Asia Pacific (Sydney),Windows,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.350 ,USD, $0.43 ,
DBAH6HCT3AJTUW9Z.BPH4J8HBKS.6YS6EN2CT7,AWS,2019-09-01,Virtual Machines,m5,m5.xlarge,4.00,16.00,0.00,EBS only,General purpose,4c / 16 GiB,Shared,Reserved,3 Year Reserved,Asia Pacific (Sydney),Windows,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.303 ,USD, $0.37 ,
DBAH6HCT3AJTUW9Z.JRTCKXETXF.6YS6EN2CT7,AWS,2020-01-01,Virtual Machines,m5,m5.xlarge,4.00,16.00,0.00,EBS only,General purpose,4c / 16 GiB,Shared,On-Demand,On-Demand,Asia Pacific (Sydney),Windows,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.424 ,USD, $0.52 ,
G6C3S6JXF7X65E5Q.JRTCKXETXF.6YS6EN2CT7,AWS,2020-01-01,Virtual Machines,m5,m5.xlarge,4.00,16.00,0.00,EBS only,General purpose,4c / 16 GiB,Shared,On-Demand,On-Demand,Asia Pacific (Sydney),Windows,Bring your own Licence,None,None,None,None,Public Cloud Compute,Per Hour, $0.240 ,USD, $0.30 ,
MUFZQ6NQX968P9JE.4NA7Y494T4.6YS6EN2CT7,AWS,2019-09-01,Virtual Machines,m5,m5.xlarge,4.00,16.00,0.00,EBS only,General purpose,4c / 16 GiB,Dedicated,Reserved,1 Year Reserved,Asia Pacific (Sydney),SUSE,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.215 ,USD, $0.26 ,
MUFZQ6NQX968P9JE.BPH4J8HBKS.6YS6EN2CT7,AWS,2019-09-01,Virtual Machines,m5,m5.xlarge,4.00,16.00,0.00,EBS only,General purpose,4c / 16 GiB,Dedicated,Reserved,3 Year Reserved,Asia Pacific (Sydney),SUSE,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.167 ,USD, $0.21 ,
MUFZQ6NQX968P9JE.JRTCKXETXF.6YS6EN2CT7,AWS,2020-01-01,Virtual Machines,m5,m5.xlarge,4.00,16.00,0.00,EBS only,General purpose,4c / 16 GiB,Dedicated,On-Demand,On-Demand,Asia Pacific (Sydney),SUSE,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.356 ,USD, $0.44 ,
SJSBF8HYHZH6KEKD.4NA7Y494T4.6YS6EN2CT7,AWS,2019-09-01,Virtual Machines,m5,m5.xlarge,4.00,16.00,0.00,EBS only,General purpose,4c / 16 GiB,Shared,Reserved,1 Year Reserved,Asia Pacific (Sydney),RHEL,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.226 ,USD, $0.28 ,
SJSBF8HYHZH6KEKD.BPH4J8HBKS.6YS6EN2CT7,AWS,2019-09-01,Virtual Machines,m5,m5.xlarge,4.00,16.00,0.00,EBS only,General purpose,4c / 16 GiB,Shared,Reserved,3 Year Reserved,Asia Pacific (Sydney),RHEL,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.179 ,USD, $0.22 ,
SJSBF8HYHZH6KEKD.JRTCKXETXF.6YS6EN2CT7,AWS,2020-01-01,Virtual Machines,m5,m5.xlarge,4.00,16.00,0.00,EBS only,General purpose,4c / 16 GiB,Shared,On-Demand,On-Demand,Asia Pacific (Sydney),RHEL,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.300 ,USD, $0.37 ,
TN998S4RSQ78KYKY.4NA7Y494T4.6YS6EN2CT7,AWS,2019-09-01,Virtual Machines,m5,m5.xlarge,4.00,16.00,0.00,EBS only,General purpose,4c / 16 GiB,Dedicated,Reserved,1 Year Reserved,Asia Pacific (Sydney),Windows,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.366 ,USD, $0.45 ,
TN998S4RSQ78KYKY.BPH4J8HBKS.6YS6EN2CT7,AWS,2019-09-01,Virtual Machines,m5,m5.xlarge,4.00,16.00,0.00,EBS only,General purpose,4c / 16 GiB,Dedicated,Reserved,3 Year Reserved,Asia Pacific (Sydney),Windows,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.318 ,USD, $0.39 ,
TN998S4RSQ78KYKY.JRTCKXETXF.6YS6EN2CT7,AWS,2020-01-01,Virtual Machines,m5,m5.xlarge,4.00,16.00,0.00,EBS only,General purpose,4c / 16 GiB,Dedicated,On-Demand,On-Demand,Asia Pacific (Sydney),Windows,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.440 ,USD, $0.54 ,
WQDZ7DYN3TEZUCDB.JRTCKXETXF.6YS6EN2CT7,AWS,2020-01-01,Virtual Machines,m5,m5.xlarge,4.00,16.00,0.00,EBS only,General purpose,4c / 16 GiB,Dedicated,On-Demand,On-Demand,Asia Pacific (Sydney),Windows,Bring your own Licence,None,None,None,None,Public Cloud Compute,Per Hour, $0.256 ,USD, $0.32 ,
Y3SJ6F9VTGUMP96R.4NA7Y494T4.6YS6EN2CT7,AWS,2019-09-01,Virtual Machines,m5,m5.xlarge,4.00,16.00,0.00,EBS only,General purpose,4c / 16 GiB,Dedicated,Reserved,1 Year Reserved,Asia Pacific (Sydney),Linux,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.182 ,USD, $0.22 ,
Y3SJ6F9VTGUMP96R.BPH4J8HBKS.6YS6EN2CT7,AWS,2019-09-01,Virtual Machines,m5,m5.xlarge,4.00,16.00,0.00,EBS only,General purpose,4c / 16 GiB,Dedicated,Reserved,3 Year Reserved,Asia Pacific (Sydney),Linux,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.134 ,USD, $0.17 ,
Y3SJ6F9VTGUMP96R.JRTCKXETXF.6YS6EN2CT7,AWS,2020-01-01,Virtual Machines,m5,m5.xlarge,4.00,16.00,0.00,EBS only,General purpose,4c / 16 GiB,Dedicated,On-Demand,On-Demand,Asia Pacific (Sydney),Linux,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.256 ,USD, $0.32 ,
Y7CEJPFAT6QXJYCJ.4NA7Y494T4.6YS6EN2CT7,AWS,2019-09-01,Virtual Machines,m5,m5.xlarge,4.00,16.00,0.00,EBS only,General purpose,4c / 16 GiB,Dedicated,Reserved,1 Year Reserved,Asia Pacific (Sydney),RHEL,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.242 ,USD, $0.30 ,
Y7CEJPFAT6QXJYCJ.BPH4J8HBKS.6YS6EN2CT7,AWS,2019-09-01,Virtual Machines,m5,m5.xlarge,4.00,16.00,0.00,EBS only,General purpose,4c / 16 GiB,Dedicated,Reserved,3 Year Reserved,Asia Pacific (Sydney),RHEL,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.194 ,USD, $0.24 ,
Y7CEJPFAT6QXJYCJ.JRTCKXETXF.6YS6EN2CT7,AWS,2020-01-01,Virtual Machines,m5,m5.xlarge,4.00,16.00,0.00,EBS only,General purpose,4c / 16 GiB,Dedicated,On-Demand,On-Demand,Asia Pacific (Sydney),RHEL,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.316 ,USD, $0.39 ,
Y7WMVPSR6HMUQHWR.4NA7Y494T4.6YS6EN2CT7,AWS,2019-09-01,Virtual Machines,m5,m5.xlarge,4.00,16.00,0.00,EBS only,General purpose,4c / 16 GiB,Shared,Reserved,1 Year Reserved,Asia Pacific (Sydney),SUSE,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.199 ,USD, $0.25 ,
Y7WMVPSR6HMUQHWR.BPH4J8HBKS.6YS6EN2CT7,AWS,2019-09-01,Virtual Machines,m5,m5.xlarge,4.00,16.00,0.00,EBS only,General purpose,4c / 16 GiB,Shared,Reserved,3 Year Reserved,Asia Pacific (Sydney),SUSE,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.152 ,USD, $0.19 ,
Y7WMVPSR6HMUQHWR.JRTCKXETXF.6YS6EN2CT7,AWS,2020-01-01,Virtual Machines,m5,m5.xlarge,4.00,16.00,0.00,EBS only,General purpose,4c / 16 GiB,Shared,On-Demand,On-Demand,Asia Pacific (Sydney),SUSE,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.340 ,USD, $0.42 ,
YTSUFB5KUMQURKW5.4NA7Y494T4.6YS6EN2CT7,AWS,2019-09-01,Virtual Machines,m5,m5.xlarge,4.00,16.00,0.00,EBS only,General purpose,4c / 16 GiB,Shared,Reserved,1 Year Reserved,Asia Pacific (Sydney),Linux,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.166 ,USD, $0.20 ,
YTSUFB5KUMQURKW5.BPH4J8HBKS.6YS6EN2CT7,AWS,2019-09-01,Virtual Machines,m5,m5.xlarge,4.00,16.00,0.00,EBS only,General purpose,4c / 16 GiB,Shared,Reserved,3 Year Reserved,Asia Pacific (Sydney),Linux,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.119 ,USD, $0.15 ,
YTSUFB5KUMQURKW5.JRTCKXETXF.6YS6EN2CT7,AWS,2020-01-01,Virtual Machines,m5,m5.xlarge,4.00,16.00,0.00,EBS only,General purpose,4c / 16 GiB,Shared,On-Demand,On-Demand,Asia Pacific (Sydney),Linux,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.240 ,USD, $0.30 ,
2DNQCWK8FFDWGGH9.4NA7Y494T4.6YS6EN2CT7,AWS,2019-02-01,Virtual Machines,m5a,m5a.12xlarge,48.00,192.00,0.00,EBS only,General purpose,48c / 192 GiB,Shared,Reserved,1 Year Reserved,Asia Pacific (Sydney),Linux,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $1.794 ,USD, $2.21 ,
2DNQCWK8FFDWGGH9.BPH4J8HBKS.6YS6EN2CT7,AWS,2019-02-01,Virtual Machines,m5a,m5a.12xlarge,48.00,192.00,0.00,EBS only,General purpose,48c / 192 GiB,Shared,Reserved,3 Year Reserved,Asia Pacific (Sydney),Linux,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $1.282 ,USD, $1.58 ,
2DNQCWK8FFDWGGH9.JRTCKXETXF.6YS6EN2CT7,AWS,2020-01-01,Virtual Machines,m5a,m5a.12xlarge,48.00,192.00,0.00,EBS only,General purpose,48c / 192 GiB,Shared,On-Demand,On-Demand,Asia Pacific (Sydney),Linux,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $2.592 ,USD, $3.19 ,
6G22C8WK85YE9HFW.4NA7Y494T4.6YS6EN2CT7,AWS,2019-02-01,Virtual Machines,m5a,m5a.12xlarge,48.00,192.00,0.00,EBS only,General purpose,48c / 192 GiB,Dedicated,Reserved,1 Year Reserved,Asia Pacific (Sydney),Linux,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $1.964 ,USD, $2.42 ,
6G22C8WK85YE9HFW.BPH4J8HBKS.6YS6EN2CT7,AWS,2019-02-01,Virtual Machines,m5a,m5a.12xlarge,48.00,192.00,0.00,EBS only,General purpose,48c / 192 GiB,Dedicated,Reserved,3 Year Reserved,Asia Pacific (Sydney),Linux,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $1.453 ,USD, $1.79 ,
6G22C8WK85YE9HFW.JRTCKXETXF.6YS6EN2CT7,AWS,2020-01-01,Virtual Machines,m5a,m5a.12xlarge,48.00,192.00,0.00,EBS only,General purpose,48c / 192 GiB,Dedicated,On-Demand,On-Demand,Asia Pacific (Sydney),Linux,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $2.763 ,USD, $3.40 ,
BSJZQ5P6CFUK85J4.4NA7Y494T4.6YS6EN2CT7,AWS,2019-02-01,Virtual Machines,m5a,m5a.12xlarge,48.00,192.00,0.00,EBS only,General purpose,48c / 192 GiB,Shared,Reserved,1 Year Reserved,Asia Pacific (Sydney),Windows,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $4.002 ,USD, $4.93 ,
BSJZQ5P6CFUK85J4.BPH4J8HBKS.6YS6EN2CT7,AWS,2019-02-01,Virtual Machines,m5a,m5a.12xlarge,48.00,192.00,0.00,EBS only,General purpose,48c / 192 GiB,Shared,Reserved,3 Year Reserved,Asia Pacific (Sydney),Windows,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $3.490 ,USD, $4.30 ,
BSJZQ5P6CFUK85J4.JRTCKXETXF.6YS6EN2CT7,AWS,2020-01-01,Virtual Machines,m5a,m5a.12xlarge,48.00,192.00,0.00,EBS only,General purpose,48c / 192 GiB,Shared,On-Demand,On-Demand,Asia Pacific (Sydney),Windows,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $4.800 ,USD, $5.92 ,
CAS6WRSB6QJ5Q7W2.4NA7Y494T4.6YS6EN2CT7,AWS,2019-02-01,Virtual Machines,m5a,m5a.12xlarge,48.00,192.00,0.00,EBS only,General purpose,48c / 192 GiB,Dedicated,Reserved,1 Year Reserved,Asia Pacific (Sydney),Windows,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $4.172 ,USD, $5.14 ,
CAS6WRSB6QJ5Q7W2.BPH4J8HBKS.6YS6EN2CT7,AWS,2019-02-01,Virtual Machines,m5a,m5a.12xlarge,48.00,192.00,0.00,EBS only,General purpose,48c / 192 GiB,Dedicated,Reserved,3 Year Reserved,Asia Pacific (Sydney),Windows,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $3.661 ,USD, $4.51 ,
CAS6WRSB6QJ5Q7W2.JRTCKXETXF.6YS6EN2CT7,AWS,2020-01-01,Virtual Machines,m5a,m5a.12xlarge,48.00,192.00,0.00,EBS only,General purpose,48c / 192 GiB,Dedicated,On-Demand,On-Demand,Asia Pacific (Sydney),Windows,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $4.971 ,USD, $6.13 ,
EE6FNZJVN8NGVQB8.4NA7Y494T4.6YS6EN2CT7,AWS,2019-02-01,Virtual Machines,m5a,m5a.12xlarge,48.00,192.00,0.00,EBS only,General purpose,48c / 192 GiB,Dedicated,Reserved,1 Year Reserved,Asia Pacific (Sydney),RHEL,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $2.094 ,USD, $2.58 ,
EE6FNZJVN8NGVQB8.BPH4J8HBKS.6YS6EN2CT7,AWS,2019-02-01,Virtual Machines,m5a,m5a.12xlarge,48.00,192.00,0.00,EBS only,General purpose,48c / 192 GiB,Dedicated,Reserved,3 Year Reserved,Asia Pacific (Sydney),RHEL,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $1.583 ,USD, $1.95 ,
EE6FNZJVN8NGVQB8.JRTCKXETXF.6YS6EN2CT7,AWS,2020-01-01,Virtual Machines,m5a,m5a.12xlarge,48.00,192.00,0.00,EBS only,General purpose,48c / 192 GiB,Dedicated,On-Demand,On-Demand,Asia Pacific (Sydney),RHEL,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $2.893 ,USD, $3.57 ,
HCUP5FPG97AAE52P.4NA7Y494T4.6YS6EN2CT7,AWS,2019-02-01,Virtual Machines,m5a,m5a.12xlarge,48.00,192.00,0.00,EBS only,General purpose,48c / 192 GiB,Shared,Reserved,1 Year Reserved,Asia Pacific (Sydney),SUSE,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $1.854 ,USD, $2.28 ,
HCUP5FPG97AAE52P.BPH4J8HBKS.6YS6EN2CT7,AWS,2019-02-01,Virtual Machines,m5a,m5a.12xlarge,48.00,192.00,0.00,EBS only,General purpose,48c / 192 GiB,Shared,Reserved,3 Year Reserved,Asia Pacific (Sydney),SUSE,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $1.336 ,USD, $1.65 ,
HCUP5FPG97AAE52P.JRTCKXETXF.6YS6EN2CT7,AWS,2020-01-01,Virtual Machines,m5a,m5a.12xlarge,48.00,192.00,0.00,EBS only,General purpose,48c / 192 GiB,Shared,On-Demand,On-Demand,Asia Pacific (Sydney),SUSE,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $2.742 ,USD, $3.38 ,
KXGPTFMAAVXFCXYX.4NA7Y494T4.6YS6EN2CT7,AWS,2019-02-01,Virtual Machines,m5a,m5a.12xlarge,48.00,192.00,0.00,EBS only,General purpose,48c / 192 GiB,Shared,Reserved,1 Year Reserved,Asia Pacific (Sydney),RHEL,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $1.924 ,USD, $2.37 ,
KXGPTFMAAVXFCXYX.BPH4J8HBKS.6YS6EN2CT7,AWS,2019-02-01,Virtual Machines,m5a,m5a.12xlarge,48.00,192.00,0.00,EBS only,General purpose,48c / 192 GiB,Shared,Reserved,3 Year Reserved,Asia Pacific (Sydney),RHEL,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $1.412 ,USD, $1.74 ,
KXGPTFMAAVXFCXYX.JRTCKXETXF.6YS6EN2CT7,AWS,2020-01-01,Virtual Machines,m5a,m5a.12xlarge,48.00,192.00,0.00,EBS only,General purpose,48c / 192 GiB,Shared,On-Demand,On-Demand,Asia Pacific (Sydney),RHEL,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $2.722 ,USD, $3.35 ,
NE2B28R869JEQUQ5.4NA7Y494T4.6YS6EN2CT7,AWS,2019-02-01,Virtual Machines,m5a,m5a.12xlarge,48.00,192.00,0.00,EBS only,General purpose,48c / 192 GiB,Dedicated,Reserved,1 Year Reserved,Asia Pacific (Sydney),SUSE,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $2.024 ,USD, $2.49 ,
NE2B28R869JEQUQ5.BPH4J8HBKS.6YS6EN2CT7,AWS,2019-02-01,Virtual Machines,m5a,m5a.12xlarge,48.00,192.00,0.00,EBS only,General purpose,48c / 192 GiB,Dedicated,Reserved,3 Year Reserved,Asia Pacific (Sydney),SUSE,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $1.507 ,USD, $1.86 ,
NE2B28R869JEQUQ5.JRTCKXETXF.6YS6EN2CT7,AWS,2020-01-01,Virtual Machines,m5a,m5a.12xlarge,48.00,192.00,0.00,EBS only,General purpose,48c / 192 GiB,Dedicated,On-Demand,On-Demand,Asia Pacific (Sydney),SUSE,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $2.913 ,USD, $3.59 ,
4A44GZJ9YV5JXU3F.4NA7Y494T4.6YS6EN2CT7,AWS,2019-06-01,Virtual Machines,m5a,m5a.16xlarge,64.00,256.00,0.00,EBS only,General purpose,64c / 256 GiB,Shared,Reserved,1 Year Reserved,Asia Pacific (Sydney),SUSE,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $2.451 ,USD, $3.02 ,
4A44GZJ9YV5JXU3F.BPH4J8HBKS.6YS6EN2CT7,AWS,2019-06-01,Virtual Machines,m5a,m5a.16xlarge,64.00,256.00,0.00,EBS only,General purpose,64c / 256 GiB,Shared,Reserved,3 Year Reserved,Asia Pacific (Sydney),SUSE,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $1.763 ,USD, $2.17 ,
4A44GZJ9YV5JXU3F.JRTCKXETXF.6YS6EN2CT7,AWS,2020-01-01,Virtual Machines,m5a,m5a.16xlarge,64.00,256.00,0.00,EBS only,General purpose,64c / 256 GiB,Shared,On-Demand,On-Demand,Asia Pacific (Sydney),SUSE,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $3.606 ,USD, $4.44 ,
8DNRCXVBRG7F4MSH.4NA7Y494T4.6YS6EN2CT7,AWS,2019-06-01,Virtual Machines,m5a,m5a.16xlarge,64.00,256.00,0.00,EBS only,General purpose,64c / 256 GiB,Dedicated,Reserved,1 Year Reserved,Asia Pacific (Sydney),SUSE,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $2.679 ,USD, $3.30 ,
8DNRCXVBRG7F4MSH.BPH4J8HBKS.6YS6EN2CT7,AWS,2019-06-01,Virtual Machines,m5a,m5a.16xlarge,64.00,256.00,0.00,EBS only,General purpose,64c / 256 GiB,Dedicated,Reserved,3 Year Reserved,Asia Pacific (Sydney),SUSE,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $1.991 ,USD, $2.45 ,
8DNRCXVBRG7F4MSH.JRTCKXETXF.6YS6EN2CT7,AWS,2020-01-01,Virtual Machines,m5a,m5a.16xlarge,64.00,256.00,0.00,EBS only,General purpose,64c / 256 GiB,Dedicated,On-Demand,On-Demand,Asia Pacific (Sydney),SUSE,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $3.834 ,USD, $4.72 ,
EW6WVHDR3AR6W6TP.4NA7Y494T4.6YS6EN2CT7,AWS,2019-06-01,Virtual Machines,m5a,m5a.16xlarge,64.00,256.00,0.00,EBS only,General purpose,64c / 256 GiB,Shared,Reserved,1 Year Reserved,Asia Pacific (Sydney),RHEL,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $2.521 ,USD, $3.11 ,
EW6WVHDR3AR6W6TP.BPH4J8HBKS.6YS6EN2CT7,AWS,2019-06-01,Virtual Machines,m5a,m5a.16xlarge,64.00,256.00,0.00,EBS only,General purpose,64c / 256 GiB,Shared,Reserved,3 Year Reserved,Asia Pacific (Sydney),RHEL,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $1.839 ,USD, $2.27 ,
EW6WVHDR3AR6W6TP.JRTCKXETXF.6YS6EN2CT7,AWS,2020-01-01,Virtual Machines,m5a,m5a.16xlarge,64.00,256.00,0.00,EBS only,General purpose,64c / 256 GiB,Shared,On-Demand,On-Demand,Asia Pacific (Sydney),RHEL,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $3.586 ,USD, $4.42 ,
M3QDB2B3UGEUXSD9.4NA7Y494T4.6YS6EN2CT7,AWS,2019-06-01,Virtual Machines,m5a,m5a.16xlarge,64.00,256.00,0.00,EBS only,General purpose,64c / 256 GiB,Shared,Reserved,1 Year Reserved,Asia Pacific (Sydney),Windows,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $5.335 ,USD, $6.57 ,
M3QDB2B3UGEUXSD9.BPH4J8HBKS.6YS6EN2CT7,AWS,2019-06-01,Virtual Machines,m5a,m5a.16xlarge,64.00,256.00,0.00,EBS only,General purpose,64c / 256 GiB,Shared,Reserved,3 Year Reserved,Asia Pacific (Sydney),Windows,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $4.653 ,USD, $5.73 ,
M3QDB2B3UGEUXSD9.JRTCKXETXF.6YS6EN2CT7,AWS,2020-01-01,Virtual Machines,m5a,m5a.16xlarge,64.00,256.00,0.00,EBS only,General purpose,64c / 256 GiB,Shared,On-Demand,On-Demand,Asia Pacific (Sydney),Windows,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $6.400 ,USD, $7.89 ,
Q8TA88PMTA549MU4.4NA7Y494T4.6YS6EN2CT7,AWS,2019-06-01,Virtual Machines,m5a,m5a.16xlarge,64.00,256.00,0.00,EBS only,General purpose,64c / 256 GiB,Shared,Reserved,1 Year Reserved,Asia Pacific (Sydney),Linux,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $2.391 ,USD, $2.95 ,
Q8TA88PMTA549MU4.BPH4J8HBKS.6YS6EN2CT7,AWS,2019-06-01,Virtual Machines,m5a,m5a.16xlarge,64.00,256.00,0.00,EBS only,General purpose,64c / 256 GiB,Shared,Reserved,3 Year Reserved,Asia Pacific (Sydney),Linux,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $1.709 ,USD, $2.11 ,
Q8TA88PMTA549MU4.JRTCKXETXF.6YS6EN2CT7,AWS,2020-01-01,Virtual Machines,m5a,m5a.16xlarge,64.00,256.00,0.00,EBS only,General purpose,64c / 256 GiB,Shared,On-Demand,On-Demand,Asia Pacific (Sydney),Linux,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $3.456 ,USD, $4.26 ,
SE4UYDVKGUW389RZ.4NA7Y494T4.6YS6EN2CT7,AWS,2019-06-01,Virtual Machines,m5a,m5a.16xlarge,64.00,256.00,0.00,EBS only,General purpose,64c / 256 GiB,Dedicated,Reserved,1 Year Reserved,Asia Pacific (Sydney),RHEL,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $2.749 ,USD, $3.39 ,
SE4UYDVKGUW389RZ.BPH4J8HBKS.6YS6EN2CT7,AWS,2019-06-01,Virtual Machines,m5a,m5a.16xlarge,64.00,256.00,0.00,EBS only,General purpose,64c / 256 GiB,Dedicated,Reserved,3 Year Reserved,Asia Pacific (Sydney),RHEL,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $2.067 ,USD, $2.55 ,
SE4UYDVKGUW389RZ.JRTCKXETXF.6YS6EN2CT7,AWS,2020-01-01,Virtual Machines,m5a,m5a.16xlarge,64.00,256.00,0.00,EBS only,General purpose,64c / 256 GiB,Dedicated,On-Demand,On-Demand,Asia Pacific (Sydney),RHEL,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $3.814 ,USD, $4.70 ,
U4P28JDVDBA35FXZ.4NA7Y494T4.6YS6EN2CT7,AWS,2019-06-01,Virtual Machines,m5a,m5a.16xlarge,64.00,256.00,0.00,EBS only,General purpose,64c / 256 GiB,Dedicated,Reserved,1 Year Reserved,Asia Pacific (Sydney),Windows,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $5.563 ,USD, $6.86 ,
U4P28JDVDBA35FXZ.BPH4J8HBKS.6YS6EN2CT7,AWS,2019-06-01,Virtual Machines,m5a,m5a.16xlarge,64.00,256.00,0.00,EBS only,General purpose,64c / 256 GiB,Dedicated,Reserved,3 Year Reserved,Asia Pacific (Sydney),Windows,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $4.881 ,USD, $6.02 ,
U4P28JDVDBA35FXZ.JRTCKXETXF.6YS6EN2CT7,AWS,2020-01-01,Virtual Machines,m5a,m5a.16xlarge,64.00,256.00,0.00,EBS only,General purpose,64c / 256 GiB,Dedicated,On-Demand,On-Demand,Asia Pacific (Sydney),Windows,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $6.628 ,USD, $8.17 ,
VT8CAH4X8VQSR6RD.4NA7Y494T4.6YS6EN2CT7,AWS,2019-06-01,Virtual Machines,m5a,m5a.16xlarge,64.00,256.00,0.00,EBS only,General purpose,64c / 256 GiB,Dedicated,Reserved,1 Year Reserved,Asia Pacific (Sydney),Linux,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $2.619 ,USD, $3.23 ,
VT8CAH4X8VQSR6RD.BPH4J8HBKS.6YS6EN2CT7,AWS,2019-06-01,Virtual Machines,m5a,m5a.16xlarge,64.00,256.00,0.00,EBS only,General purpose,64c / 256 GiB,Dedicated,Reserved,3 Year Reserved,Asia Pacific (Sydney),Linux,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $1.937 ,USD, $2.39 ,
